frequency,impedance
1.2099999999999769,(-328.4792411680454+2262.1353430567096j)
1.2109999999999768,(-328.20813440597635+2260.2656541705373j)
1.2119999999999767,(-327.93747514840686+2258.3990490270667j)
1.2129999999999765,(-327.6672622886145+2256.5355199991795j)
1.2139999999999764,(-327.39749472352315+2254.6750594848822j)
1.2149999999999763,(-327.1281713536887+2252.8176599072153j)
1.2159999999999762,(-326.859291083283+2250.9633137141386j)
1.216999999999976,(-326.5908528200806+2249.1120133784357j)
1.217999999999976,(-326.3228554754418+2247.2637513976074j)
1.2189999999999759,(-326.0552979643006+2245.4185202937742j)
1.2199999999999758,(-325.7881792051477+2243.5763126135735j)
1.2209999999999757,(-325.5214981200171+2241.737120928059j)
1.2219999999999756,(-325.2552536344715+2239.9009378326045j)
1.2229999999999754,(-324.9894446775877+2238.067755946796j)
1.2239999999999753,(-324.7240701819422+2236.237567914341j)
1.2249999999999752,(-324.4591290835973+2234.4103664029694j)
1.225999999999975,(-324.19462032208594+2232.586144104329j)
1.226999999999975,(-323.9305428403989+2230.7648937338936j)
1.227999999999975,(-323.66689558497+2228.9466080308675j)
1.2289999999999748,(-323.4036775056616+2227.1312797580827j)
1.2299999999999747,(-323.1408875557519+2225.3189017019085j)
1.2309999999999746,(-322.8785246919197+2223.509466672153j)
1.2319999999999744,(-322.6165878742316+2221.7029675019676j)
1.2329999999999743,(-322.3550760661279+2219.8993970477545j)
1.2339999999999742,(-322.0939882344089+2218.0987481890725j)
1.2349999999999741,(-321.83332334922125+2216.3010138285404j)
1.235999999999974,(-321.5730803840449+2214.506186891747j)
1.236999999999974,(-321.3132583156785+2212.714260327153j)
1.2379999999999738,(-321.05385612422776+2210.9252271060095j)
1.2389999999999737,(-320.7948727930901+2209.1390802222527j)
1.2399999999999736,(-320.53630730894287+2207.3558126924195j)
1.2409999999999735,(-320.2781586617292+2205.5754175555576j)
1.2419999999999733,(-320.02042584464596+2203.7978878731324j)
1.2429999999999732,(-319.76310785412966+2202.0232167289364j)
1.2439999999999731,(-319.50620368984346+2200.251397229001j)
1.244999999999973,(-319.2497123546647+2198.4824225015054j)
1.245999999999973,(-318.9936328546719+2196.716285696691j)
1.2469999999999728,(-318.73796419913197+2194.952979986768j)
1.2479999999999727,(-318.482705400487+2193.192498565834j)
1.2489999999999726,(-318.22785547434165+2191.434834649777j)
1.2499999999999725,(-317.97341343945124+2189.6799814761985j)
1.2509999999999724,(-317.71937831770833+2187.92793230432j)
1.2519999999999722,(-317.46574913413076+2186.1786804149024j)
1.2529999999999721,(-317.2125249168483+2184.4322191101483j)
1.253999999999972,(-316.95970469709107+2182.6885417136305j)
1.254999999999972,(-316.7072875091775+2180.947641570202j)
1.2559999999999718,(-316.45527239050057+2179.2095120459044j)
1.2569999999999717,(-316.20365838151736+2177.474146527895j)
1.2579999999999716,(-315.9524445257353+2175.741538424354j)
1.2589999999999715,(-315.7016298697015+2174.011681164406j)
1.2599999999999714,(-315.4512134629892+2172.284568198033j)
1.2609999999999713,(-315.201194358187+2170.5601929959976j)
1.2619999999999711,(-314.9515716108865+2168.8385490497526j)
1.262999999999971,(-314.70234427966966+2167.1196298713653j)
1.263999999999971,(-314.4535114260985+2165.4034289934357j)
1.2649999999999708,(-314.20507211470215+2163.689939969009j)
1.2659999999999707,(-313.95702541296527+2161.9791563715057j)
1.2669999999999706,(-313.7093703913172+2160.271071794631j)
1.2679999999999705,(-313.462106123119+2158.5656798523j)
1.2689999999999704,(-313.2152316846528+2156.8629741785567j)
1.2699999999999703,(-312.9687461551105+2155.1629484274954j)
1.2709999999999702,(-312.72264861658147+2153.465596273179j)
1.27199999999997,(-312.4769381540421+2151.770911409568j)
1.27299999999997,(-312.23161385534377+2150.0788875504322j)
1.2739999999999698,(-311.9866748112015+2148.3895184292796j)
1.2749999999999697,(-311.7421201151838+2146.7027977992802j)
1.2759999999999696,(-311.49794886369983+2145.018719433182j)
1.2769999999999695,(-311.2541601559898+2143.3372771232407j)
1.2779999999999694,(-311.0107530941129+2141.658464681141j)
1.2789999999999693,(-310.76772678293685+2139.9822759379203j)
1.2799999999999692,(-310.52508033012646+2138.308704743895j)
1.280999999999969,(-310.28281284613325+2136.637744968581j)
1.281999999999969,(-310.04092344418393+2134.969390500625j)
1.2829999999999688,(-309.79941124027033+2133.3036352477247j)
1.2839999999999687,(-309.5582753531382+2131.6404731365574j)
1.2849999999999686,(-309.317514904276+2129.9798981127037j)
1.2859999999999685,(-309.07712901790546+2128.321904140579j)
1.2869999999999684,(-308.8371168209702+2126.6664852033537j)
1.2879999999999683,(-308.5974774431246+2125.0136353028843j)
1.2889999999999682,(-308.3582100167248+2123.363348459641j)
1.289999999999968,(-308.1193136768169+2121.715618712635j)
1.290999999999968,(-307.8807875611267+2120.0704401193457j)
1.2919999999999678,(-307.6426308100506+2118.427806755651j)
1.2929999999999677,(-307.40484256664314+2116.787712715753j)
1.2939999999999676,(-307.1674219766086+2115.150152112112j)
1.2949999999999675,(-306.93036818829006+2113.515119075372j)
1.2959999999999674,(-306.6936803526589+2111.8826077542917j)
1.2969999999999673,(-306.4573576233052+2110.252612315676j)
1.2979999999999672,(-306.2213991564272+2108.6251269443055j)
1.298999999999967,(-305.98580411082213+2107.000145842865j)
1.299999999999967,(-305.7505716478747+2105.3776632318786j)
1.3009999999999668,(-305.51570093154857+2103.757673349639j)
1.3019999999999667,(-305.28119112837607+2102.14017045214j)
1.3029999999999666,(-305.04704140744786+2100.525148813008j)
1.3039999999999665,(-304.8132509404034+2098.912602723434j)
1.3049999999999664,(-304.5798189014215+2097.3025264921075j)
1.3059999999999663,(-304.3467444672102+2095.6949144451487j)
1.3069999999999662,(-304.11402681699724+2094.0897609260414j)
1.307999999999966,(-303.8816651325202+2092.4870602955693j)
1.308999999999966,(-303.649658598018+2090.8868069317464j)
1.3099999999999659,(-303.41800640021916+2089.2889952297514j)
1.3109999999999657,(-303.18670772833457+2087.693619601865j)
1.3119999999999656,(-302.9557617740468+2086.1006744774045j)
1.3129999999999655,(-302.7251677315009+2084.510154302655j)
1.3139999999999654,(-302.4949247972953+2082.9220535408103j)
1.3149999999999653,(-302.26503217047224+2081.3363666719015j)
1.3159999999999652,(-302.03548905250847+2079.7530881927446j)
1.316999999999965,(-301.8062946473059+2078.1722126168625j)
1.317999999999965,(-301.57744816118293+2076.59373447443j)
1.3189999999999649,(-301.3489488028645+2075.0176483122127j)
1.3199999999999648,(-301.1207957834739+2073.443948693499j)
1.3209999999999646,(-300.89298831652303+2071.8726301980378j)
1.3219999999999645,(-300.6655256179031+2070.3036874219792j)
1.3229999999999644,(-300.4384069058766+2068.7371149778114j)
